Sample	uniquely_mapped_percent	num_splices	num_GCAG_splices	insertion_length	deletion_length	unmapped_tooshort_percent	avg_mapped_read_length	deletion_rate	mismatch_rate	avg_input_read_length	num_ATAC_splices	num_annotated_splices	num_GTAG_splices	uniquely_mapped	multimapped_toomany	unmapped_mismatches	unmapped_mismatches_percent	total_reads	unmapped_other	insertion_rate	unmapped_other_percent	multimapped_percent	multimapped	num_noncanonical_splices	unmapped_tooshort	multimapped_toomany_percent
SLX-11165.ORDRH07.HFN3MBBXX.s_5.r_1_trimmed_GRCm38	81.3	94069.0	668.0	1.31	1.56	2.66	48.73	0.0	0.37	49.0	118.0	0.0	92439.0	2741362.0	20063.0	0	0.0	3371800.0	35091	0.0	1.04	14.4	485532.0	844.0	89752	0.6
SLX-11165.ORDRH07.HFN3MBBXX.s_6.r_1_trimmed_GRCm38	81.39	96341.0	696.0	1.29	1.57	2.61	48.74	0.0	0.36	49.0	139.0	0.0	94630.0	2807191.0	20294.0	0	0.0	3449139.0	34445	0.0	1.0	14.42	497309.0	876.0	89900	0.59
SLX-11165.ORDRH07.HFN3MBBXX.s_7.r_1_trimmed_GRCm38	81.22	93433.0	686.0	1.3	1.54	2.65	48.73	0.0	0.35	49.0	119.0	0.0	91727.0	2727505.0	20004.0	0	0.0	3358306.0	35621	0.0	1.06	14.48	486125.0	901.0	89051	0.6
SLX-11165.ORDRH08.HFMVTBBXX.s_1.r_1_trimmed_GRCm38	76.18	57857.0	420.0	1.46	1.46	3.78	48.49	0.0	0.38	49.0	69.0	0.0	56762.0	1296156.0	15375.0	0	0.0	1701500.0	24317	0.0	1.43	17.71	301372.0	606.0	64280	0.9
SLX-11165.ORDRH08.HFMVTBBXX.s_2.r_1_trimmed_GRCm38	76.41	59399.0	467.0	1.41	1.55	3.73	48.5	0.0	0.38	49.0	49.0	0.0	58282.0	1314895.0	15285.0	0	0.0	1720806.0	23593	0.0	1.37	17.6	302799.0	601.0	64234	0.89
SLX-11165.ORDRH08.HFN3MBBXX.s_5.r_1_trimmed_GRCm38	76.57	63405.0	506.0	1.44	1.4	3.66	48.5	0.0	0.38	49.0	74.0	0.0	62176.0	1424587.0	16202.0	0	0.0	1860537.0	27919	0.0	1.5	17.4	323706.0	649.0	68123	0.87
SLX-11165.ORDRH08.HFN3MBBXX.s_6.r_1_trimmed_GRCm38	76.65	65358.0	516.0	1.42	1.37	3.68	48.51	0.0	0.37	49.0	59.0	0.0	64126.0	1468383.0	16979.0	0	0.0	1915649.0	27010	0.0	1.41	17.37	332782.0	657.0	70495	0.89
SLX-11165.ORDRH08.HFN3MBBXX.s_7.r_1_trimmed_GRCm38	76.62	64574.0	507.0	1.42	1.46	3.7	48.5	0.0	0.36	49.0	65.0	0.0	63329.0	1422734.0	16184.0	0	0.0	1856934.0	27437	0.0	1.48	17.34	321987.0	673.0	68592	0.87
SLX-11165.ORDRH09.HFMVTBBXX.s_1.r_1_trimmed_GRCm38	30.27	15467.0	129.0	1.45	1.37	53.98	48.25	0.0	0.49	49.0	16.0	0.0	14807.0	896326.0	10146.0	0	0.0	2961452.0	30499	0.01	1.03	14.39	426092.0	515.0	1598389	0.34
SLX-11165.ORDRH09.HFMVTBBXX.s_2.r_1_trimmed_GRCm38	29.84	14857.0	121.0	1.41	1.38	54.56	48.28	0.0	0.48	49.0	9.0	0.0	14236.0	896638.0	9728.0	0	0.0	3005087.0	28548	0.0	0.95	14.33	430645.0	491.0	1639528	0.32
SLX-11165.ORDRH09.HFN3MBBXX.s_5.r_1_trimmed_GRCm38	30.41	16783.0	182.0	1.43	1.36	54.12	48.28	0.0	0.48	49.0	14.0	0.0	16060.0	983357.0	11104.0	0	0.0	3233270.0	34923	0.01	1.08	14.04	453866.0	527.0	1750020	0.34
SLX-11165.ORDRH09.HFN3MBBXX.s_6.r_1_trimmed_GRCm38	30.3	16573.0	134.0	1.39	1.33	54.42	48.29	0.0	0.48	49.0	14.0	0.0	15859.0	1008863.0	11162.0	0	0.0	3329207.0	33293	0.0	1.0	13.94	464087.0	566.0	1811802	0.34
SLX-11165.ORDRH09.HFN3MBBXX.s_7.r_1_trimmed_GRCm38	30.39	16900.0	128.0	1.39	1.29	54.13	48.27	0.0	0.47	49.0	14.0	0.0	16195.0	984296.0	10987.0	0	0.0	3238422.0	35943	0.0	1.11	14.03	454409.0	563.0	1752787	0.34
SLX-11165.ORDRH10.HFMVTBBXX.s_1.r_1_trimmed_GRCm38	83.63	145680.0	987.0	1.28	1.28	1.92	48.85	0.0	0.3	49.0	108.0	0.0	143635.0	3726892.0	41130.0	0	0.0	4456271.0	53154	0.01	1.19	12.33	549333.0	950.0	85762	0.92
SLX-11165.ORDRH10.HFMVTBBXX.s_2.r_1_trimmed_GRCm38	83.83	148958.0	951.0	1.27	1.29	1.86	48.87	0.0	0.29	49.0	105.0	0.0	146962.0	3792096.0	41480.0	0	0.0	4523473.0	52455	0.01	1.16	12.23	553332.0	940.0	84110	0.92
SLX-11165.ORDRH10.HFN3MBBXX.s_5.r_1_trimmed_GRCm38	83.87	160111.0	1113.0	1.26	1.27	1.85	48.86	0.0	0.29	49.0	118.0	0.0	157871.0	4124735.0	44649.0	0	0.0	4918080.0	61091	0.0	1.24	12.13	596462.0	1009.0	91143	0.91
SLX-11165.ORDRH10.HFN3MBBXX.s_6.r_1_trimmed_GRCm38	83.98	164538.0	1123.0	1.27	1.28	1.8	48.87	0.0	0.29	49.0	107.0	0.0	162229.0	4258250.0	46348.0	0	0.0	5070367.0	61339	0.0	1.21	12.09	613183.0	1079.0	91247	0.91
SLX-11165.ORDRH10.HFN3MBBXX.s_7.r_1_trimmed_GRCm38	83.89	161019.0	1062.0	1.27	1.25	1.84	48.86	0.0	0.28	49.0	120.0	0.0	158733.0	4125827.0	45258.0	0	0.0	4918109.0	61166	0.01	1.24	12.1	595096.0	1104.0	90762	0.92
SLX-11165.ORDRH11.HFMVTBBXX.s_1.r_1_trimmed_GRCm38	83.45	84371.0	589.0	1.24	1.35	2.37	48.8	0.0	0.32	49.0	36.0	0.0	82970.0	3334302.0	22122.0	0	0.0	3995774.0	43497	0.0	1.09	12.55	501277.0	776.0	94576	0.55
SLX-11165.ORDRH11.HFMVTBBXX.s_2.r_1_trimmed_GRCm38	83.63	86218.0	558.0	1.24	1.35	2.32	48.82	0.0	0.31	49.0	66.0	0.0	84854.0	3401365.0	22179.0	0	0.0	4067300.0	42695	0.0	1.05	12.46	506724.0	740.0	94337	0.55
SLX-11165.ORDRH11.HFN3MBBXX.s_5.r_1_trimmed_GRCm38	83.7	90900.0	609.0	1.24	1.35	2.29	48.82	0.0	0.32	49.0	80.0	0.0	89358.0	3663922.0	24186.0	0	0.0	4377386.0	49371	0.0	1.13	12.33	539853.0	853.0	100054	0.55
SLX-11165.ORDRH11.HFN3MBBXX.s_6.r_1_trimmed_GRCm38	83.76	93912.0	600.0	1.24	1.36	2.26	48.83	0.0	0.31	49.0	52.0	0.0	92371.0	3776471.0	24633.0	0	0.0	4508701.0	48708	0.0	1.08	12.35	556962.0	889.0	101927	0.55
SLX-11165.ORDRH11.HFN3MBBXX.s_7.r_1_trimmed_GRCm38	83.68	91397.0	581.0	1.25	1.37	2.29	48.82	0.0	0.29	49.0	85.0	0.0	89926.0	3651295.0	24179.0	0	0.0	4363512.0	48410	0.0	1.11	12.37	539754.0	805.0	99874	0.55
SLX-11165.ORDRH12.HFMVTBBXX.s_1.r_1_trimmed_GRCm38	85.75	116751.0	896.0	1.31	1.27	1.74	48.88	0.0	0.29	49.0	97.0	0.0	115058.0	3020171.0	23354.0	0	0.0	3522129.0	34873	0.0	0.99	10.86	382439.0	700.0	61292	0.66
SLX-11165.ORDRH12.HFMVTBBXX.s_2.r_1_trimmed_GRCm38	85.97	119651.0	918.0	1.32	1.26	1.69	48.9	0.0	0.28	49.0	88.0	0.0	117961.0	3083738.0	23241.0	0	0.0	3586950.0	34438	0.0	0.96	10.73	384909.0	684.0	60624	0.65
SLX-11165.ORDRH12.HFN3MBBXX.s_5.r_1_trimmed_GRCm38	86.02	126424.0	988.0	1.31	1.27	1.66	48.9	0.0	0.28	49.0	92.0	0.0	124641.0	3314965.0	24821.0	0	0.0	3853751.0	38917	0.0	1.01	10.67	411085.0	703.0	63963	0.64
SLX-11165.ORDRH12.HFN3MBBXX.s_6.r_1_trimmed_GRCm38	86.07	131065.0	1023.0	1.32	1.26	1.64	48.9	0.0	0.28	49.0	94.0	0.0	129149.0	3433173.0	25747.0	0	0.0	3988734.0	39073	0.0	0.98	10.66	425353.0	799.0	65388	0.65
SLX-11165.ORDRH12.HFN3MBBXX.s_7.r_1_trimmed_GRCm38	86.03	126963.0	978.0	1.31	1.26	1.66	48.89	0.0	0.27	49.0	98.0	0.0	125155.0	3312876.0	25099.0	0	0.0	3850980.0	38486	0.0	1.0	10.66	410633.0	732.0	63886	0.65
