Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
SLX-11165.ORDRG06.HFN3MBBXX.s_7.r_1	pass	0.0	warn	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3555308.0	pass	pass	warn	47.0	57.8797867074	SLX-11165.ORDRG06.HFN3MBBXX.s_7.r_1.fq.gz	pass	pass
SLX-11165.ORDRG06.HFN3MBBXX.s_7.r_1_trimmed	pass	0.0	warn	49.3538746392	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3554318.0	pass	fail	warn	47.0	58.0475907099	SLX-11165.ORDRG06.HFN3MBBXX.s_7.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRG07.HFMVTBBXX.s_1.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3597669.0	pass	pass	warn	44.0	45.7930583187	SLX-11165.ORDRG07.HFMVTBBXX.s_1.r_1.fq.gz	fail	pass
SLX-11165.ORDRG07.HFMVTBBXX.s_1.r_1_trimmed	pass	0.0	fail	49.3754258221	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3596279.0	pass	fail	warn	44.0	46.0349435925	SLX-11165.ORDRG07.HFMVTBBXX.s_1.r_1_trimmed.fq.gz	warn	pass
SLX-11165.ORDRG07.HFMVTBBXX.s_2.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3644033.0	pass	pass	warn	44.0	45.0885822824	SLX-11165.ORDRG07.HFMVTBBXX.s_2.r_1.fq.gz	pass	pass
SLX-11165.ORDRG07.HFMVTBBXX.s_2.r_1_trimmed	pass	0.0	fail	49.3914150724	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3642803.0	pass	fail	warn	44.0	45.3873267703	SLX-11165.ORDRG07.HFMVTBBXX.s_2.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRG07.HFN3MBBXX.s_5.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3964232.0	pass	pass	warn	44.0	44.8325621123	SLX-11165.ORDRG07.HFN3MBBXX.s_5.r_1.fq.gz	fail	pass
SLX-11165.ORDRG07.HFN3MBBXX.s_5.r_1_trimmed	pass	0.0	fail	49.3800229285	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3962753.0	pass	fail	warn	44.0	45.0653750311	SLX-11165.ORDRG07.HFN3MBBXX.s_5.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRG07.HFN3MBBXX.s_6.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	4081929.0	pass	pass	warn	44.0	44.7678543054	SLX-11165.ORDRG07.HFN3MBBXX.s_6.r_1.fq.gz	fail	pass
SLX-11165.ORDRG07.HFN3MBBXX.s_6.r_1_trimmed	pass	0.0	fail	49.3886578052	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	4080533.0	pass	fail	warn	44.0	45.0170765052	SLX-11165.ORDRG07.HFN3MBBXX.s_6.r_1_trimmed.fq.gz	fail	pass
SLX-11165.ORDRG07.HFN3MBBXX.s_7.r_1	pass	0.0	fail	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	3963353.0	pass	pass	warn	44.0	44.7966475256	SLX-11165.ORDRG07.HFN3MBBXX.s_7.r_1.fq.gz	pass	pass
SLX-11165.ORDRG07.HFN3MBBXX.s_7.r_1_trimmed	pass	0.0	fail	49.3857810096	Sanger / Illumina 1.9	fail	pass	warn	20-50	Conventional base calls	pass	pass	3961955.0	pass	fail	warn	44.0	45.0796259525	SLX-11165.ORDRG07.HFN3MBBXX.s_7.r_1_trimmed.fq.gz	pass	pass
SLX-11165.ORDRG08.HFMVTBBXX.s_1.r_1	pass	0.0	pass	50.0	Sanger / Illumina 1.9	fail	pass	pass	50.0	Conventional base calls	pass	pass	2044803.0	pass	pass	warn	45.0	73.9113350476	SLX-11165.ORDRG08.HFMVTBBXX.s_1.r_1.fq.gz	fail	pass
