Sample	Human counts	Human percentage	Mouse counts	Mouse percentage	Rat counts	Rat percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Lambda counts	Lambda percentage
SLX-11165.ORDRC08.HFN3MBBXX.s_6.r_1_screen	27660	27.84	92860	93.43	41036	41.29	25	0.03	36	0.04	0	0.0
SLX-11165.ORDRC08.HFN3MBBXX.s_7.r_1_screen	28370	28.16	94258	93.58	41994	41.69	17	0.02	72	0.07	0	0.0
SLX-11165.ORDRC09.HFMVTBBXX.s_1.r_1_screen	28434	28.04	94913	93.61	43958	43.35	22	0.02	65	0.06	0	0.0
SLX-11165.ORDRC09.HFMVTBBXX.s_2.r_1_screen	27725	27.79	93584	93.8	43312	43.41	25	0.02	49	0.05	0	0.0
SLX-11165.ORDRC09.HFN3MBBXX.s_5.r_1_screen	27998	27.79	94284	93.58	43686	43.36	25	0.02	81	0.08	0	0.0
SLX-11165.ORDRC09.HFN3MBBXX.s_6.r_1_screen	27619	27.55	93844	93.65	43010	42.91	18	0.02	65	0.06	0	0.0
SLX-11165.ORDRC09.HFN3MBBXX.s_7.r_1_screen	27811	27.68	94221	93.78	43388	43.19	26	0.02	57	0.06	0	0.0
SLX-11165.ORDRC10.HFMVTBBXX.s_1.r_1_screen	29706	29.64	94182	93.98	44561	44.47	5	0.0	52	0.05	0	0.0
SLX-11165.ORDRC10.HFMVTBBXX.s_2.r_1_screen	29634	29.93	93147	94.09	44272	44.73	2	0.0	56	0.06	0	0.0
SLX-11165.ORDRC10.HFN3MBBXX.s_5.r_1_screen	29540	29.34	94696	94.05	44569	44.26	3	0.0	80	0.08	0	0.0
SLX-11165.ORDRC10.HFN3MBBXX.s_6.r_1_screen	29703	29.4	95039	94.07	44589	44.14	3	0.0	69	0.07	0	0.0
SLX-11165.ORDRC10.HFN3MBBXX.s_7.r_1_screen	29762	29.59	94728	94.17	44932	44.67	4	0.0	66	0.07	0	0.0
SLX-11165.ORDRC11.HFMVTBBXX.s_1.r_1_screen	27436	27.11	96228	95.1	41783	41.29	3	0.0	60	0.06	0	0.0
SLX-11165.ORDRC11.HFMVTBBXX.s_2.r_1_screen	27127	27.07	95335	95.14	41536	41.45	3	0.0	52	0.05	0	0.0
SLX-11165.ORDRC11.HFN3MBBXX.s_5.r_1_screen	26912	27.03	94707	95.13	41134	41.32	3	0.0	59	0.06	0	0.0
SLX-11165.ORDRC11.HFN3MBBXX.s_6.r_1_screen	26760	26.95	94552	95.24	40688	40.98	1	0.0	54	0.05	0	0.0
SLX-11165.ORDRC11.HFN3MBBXX.s_7.r_1_screen	26731	26.92	94646	95.3	41011	41.29	2	0.0	57	0.06	0	0.0
SLX-11165.ORDRC12.HFMVTBBXX.s_1.r_1_screen	22739	22.58	95943	95.25	38926	38.65	2	0.0	73	0.07	0	0.0
